title,genre,year,runtime,rating,votes,plot,imdb_url
Pachhis Basanta,Drama,1989,,,,Add a Plot,https://www.imdb.com/title/tt8467972/
Phulsiri,"Short, Drama, Family",2016,1800.0,7.8,6.0,"One and a half months after the devastating earthquake reduced an entire village to rubble, and a ten-year-old girl longs for normality. News reaches her that school will re-open in a day and she is understandably overjoyed, but there is a hitch: she must first locate her shoes --- mandatory under new school rules --- in the debris that was once her home.",https://www.imdb.com/title/tt5709520/
Dakshina,"Drama, Romance",1993,,8.3,25.0,A story about the life of a teacher who always preaches his students to be a good person in life.,https://www.imdb.com/title/tt0305406/
Kanchi,,1984,,7.9,9.0,Add a Plot,https://www.imdb.com/title/tt0316088/
Dokh,Drama,,,,,"After a few no-gooders from Salley village beat up a boy from a neighbouring village, a long-running feud over a contested forest flares up. With the insurgency at its peak, the rebel commander suggests this dispute be settled through a game of football. In the midst of all this tension a new teacher is appointed to the village school. Will this versatile stranger provide a solution or cause even more trouble?",https://www.imdb.com/title/tt6818560/
Gaunthali,,2001,,7.1,8.0,Add a Plot,https://www.imdb.com/title/tt0304067/
Birkhelai Chinchhas,Drama,2014,,,,Add a Plot,https://www.imdb.com/title/tt8477144/
Bansuri,"Drama, Romance",1981,,,,Add a Plot,https://www.imdb.com/title/tt8524684/
Kaha Bhetiyela,Drama,2008,,,,Add a Plot,https://www.imdb.com/title/tt8374202/
Green Blood,Documentary,2013,,,,Add a Plot,https://www.imdb.com/title/tt10265782/
Hifajat,Drama,2010,,,,Add a Plot,https://www.imdb.com/title/tt8728132/
Purano Bullet,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9892234/
Tandav,Action,2014,,7.2,5.0,"When an arms deal on the Nepal India border goes south, a group of traveler's in a border hotel must band together to survive the resulting siege.",https://www.imdb.com/title/tt7165932/
Babu,"Short, Drama",2019,1560.0,,,A ten year-old kid tries his best to salvage what is left of his family when his home in Nepal is torn apart by an earthquake.,https://www.imdb.com/title/tt7683212/
Yo Maya Ko Sagar,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0314926/
Jindagani,Drama,2000,,,,Add a Plot,https://www.imdb.com/title/tt8886898/
Love Love Love,Romance,2017,,5.0,12.0,Man hopes to get a girlfriend which he loves but he ends up in friend zone.,https://www.imdb.com/title/tt6695734/
Lalteen,"Action, Drama",2017,,5.1,7.0,Lalteen is a movie that illustrates the criminal activities of gangs and their way of life in the city. Guns and violence are daily rituals of gang members and innocent people are victimised. Lalteen visualises the hardship when involved with criminals and the result is mostly terrible.,https://www.imdb.com/title/tt6695976/
Shiris ko Phool,Drama,2012,,,,Story of a runaway soldier during the World War 2 who is attracted by a girl 16 years younger than him.,https://www.imdb.com/title/tt8180488/
The Human Face,Talk-Show,2014,1560.0,,,Add a Plot,https://www.imdb.com/title/tt7058432/
Aadhi Beri,Romance,1991,,,,A love story between an untouchable woman and a high caste Brahmin man.,https://www.imdb.com/title/tt8502994/
King Returns,Action,2017,,,,Add a Plot,https://www.imdb.com/title/tt7704424/
1 Percent,"Short, Drama",2012,2280.0,10.0,7.0,"2015, illegal and uncontrolled sex-trade is leading to a huge number of HIV infections. Sammy, a decent guy with a decent life is bored while his wife is away. He hesitantly decides to buy sex to kill his boredom. Everything goes well until he realizes that is condom has broken. The only thing that scares him more than possibly being infected with HIV is that he might transfer the disease to his wife. Medical science cannot give him the peace of mind quick enough so he takes it upon himself to find out his and his wife's fate. His hoped journey to HIV negative takes us through the darker side of the holy city, Kathmandu, Nepal, giving viewers a new perspective on fate and decision.",https://www.imdb.com/title/tt2298942/
Karodpati,"Drama, Romance",1997,,6.8,5.0,Add a Plot,https://www.imdb.com/title/tt8545214/
Project Rockin' High,Documentary,2016,4200.0,,,Add a Plot,https://www.imdb.com/title/tt6349726/
A Woman of Merit,"Short, Drama",2015,300.0,,,Add a Plot,https://www.imdb.com/title/tt7056376/
Bulbul,Drama,,6540.0,,,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,https://www.imdb.com/title/tt8991294/
Jiwan Kanda Ki Phool,Biography,2019,,,,Add a Plot,https://www.imdb.com/title/tt9878810/
Jadugar 2,Comedy,2019,,,,Add a Plot,https://www.imdb.com/title/tt10003806/
Saayad,Drama,2012,7620.0,6.9,17.0,"The movie 'Saayad' is the story of two brothers Yodin (played by Samyam Puri) and Nirag (played by Sunil Rawal). After Yodin was born, their family had earned wealth and their life became more easier so Nirag considers Yodin a luck. Yodin's crush, Sirish, was the sister of Nirag's crush, Samridhi. Yodin's best friend Ved (played by Wilson Bikram Rai) introduced Yodin to drugs. Yodin and Ved's group started taking drugs because of the problems in the family and love lives. Drugs caused them to neglect their study and get involved in gang fights. The story takes a u-turn when Sirish died. It is better to keep from telling, all about how Sirish died and how their lives changed after her death, not to spoil your movie experience in the theatre.",https://www.imdb.com/title/tt6500014/
Tata Bye Bye,Drama,2015,7800.0,,,"A banana merchant turned publisher with the help of pen and sword declares a personal war against the system, influenced by malignant corruption.",https://www.imdb.com/title/tt5139922/
Nepal its Business Unusual,"Documentary, Short",2015,,,,Add a Plot,https://www.imdb.com/title/tt8594998/
Untouchable Love,Documentary,2011,5400.0,,,Add a Plot,https://www.imdb.com/title/tt2048920/
Zhigrana,"Horror, Mystery, Thriller",2015,7500.0,8.2,69.0,"Christine Summers has been working in an NGO in Nepal for the past four years. Her boss assigns her to do a last mission in Ruku to collect information of the life outside of the cities, before she leaves for the United States. Leaving for the mission with her crew and her guide; they take shelter in a small village called Zhigrana; an area known for a killer on the loose who sacrifices humans in the name of Kaal Panchami, a mythical ghost. When they start to turn against each other regarding a death of a friend and with no one to trust: it is now up to Christine to figure out who the killer is. Is it the ghost of Kaal Panchami or is the truth even stranger than that?",https://www.imdb.com/title/tt4448446/
Raja,Crime,,,,,"A socially-rooted police procedural, a race-against-time thriller, as well as a portrait of Nepal, a complex society on the edge of a new future.",https://www.imdb.com/title/tt6418032/
Shankar,,1997,,8.3,6.0,Add a Plot,https://www.imdb.com/title/tt0301835/
Fateko Jutta 2,"Drama, Romance",2018,,,,Add a Plot,https://www.imdb.com/title/tt7860162/
Beauty and Brains,Documentary,2010,5040.0,,,"Would you enter a beauty contest to prevent abuse being part of your everyday life? Especially if by entering, you could lose your friends, family and education. That was what the third-genders of Nepal were prepared to do.",https://www.imdb.com/title/tt1765714/
Dhanda,Drama,2012,,,,A guy who losses his self esteem while perusing his dream on migrating overseas. He loses his sanity on waking up in the hospital.,https://www.imdb.com/title/tt8487960/
Maya Ko Sansar,"Short, Mystery, Romance",2017,,,,"A police officer, is investigating a missing case of Maya that has only two prime witnesses, Neeta and another one Marco is the prime suspects. With story unfolds the narratives about the events of the fateful night we see the world of illusion a world of Maya; let love defeat the love, let love live forever.",https://www.imdb.com/title/tt7476572/
16 Barse Yoban Salala Bage Jasto,"Short, Music",2019,,,,Add a Plot,https://www.imdb.com/title/tt7884938/
On the Road with the Red God: Machhendranath,Documentary,2006,4500.0,,,Add a Plot,https://www.imdb.com/title/tt5337934/
Challenge,Action,2011,,8.1,7.0,Add a Plot,https://www.imdb.com/title/tt1825708/
Rhythm,"Drama, Romance",2013,,,,Add a Plot,https://www.imdb.com/title/tt8761808/
Daag,,2001,8400.0,8.2,5.0,Add a Plot,https://www.imdb.com/title/tt0325215/
Maan,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0314341/
Bses Slwl I: The Musical Journey,Biography,2019,,,,This film is totally based on the Biography of the artist Bses Slwl I. It shows his struggle from a underground singer/rapper becoming a main stream rapper/singer. During the process there are cerain events which made his progress more delayed.,https://www.imdb.com/title/tt6321164/
Mahamaya,Drama,1995,,,,Add a Plot,https://www.imdb.com/title/tt8460814/
Akaal,Drama,2014,,,,Add a Plot,https://www.imdb.com/title/tt8915854/
Rudane,"Biography, Drama",2018,8280.0,,,Based on Nepalese politician Rup Chandra Bista.,https://www.imdb.com/title/tt7659822/
Ainaa Jhyaal Ko Putali,Drama,2018,6600.0,,,"For the first time in her life, Bidhya, a meritorious young girl, does not top her class and loses a scholarship to study further in the nearest town. But Bidhya does not give up. She finds out that if a student's writing has been published in a national magazine, there's still a chance of winning money that will help her to study further. With help from her younger brother Basanta, Bidhya submits a poem to a national child magazine. Unbeknownst to her, Bidhya's poem gets published in it. When Basanta gets to know of this news, he strives to find the magazine that he knows will get Bidhya the scholarship, and change their lives forever.",https://www.imdb.com/title/tt9623736/
The Winner,Thriller,2016,,7.4,7.0,THE WINNER captures the untold stories of Organized Crime and their families as it follows the journey across Australia and Nepal.,https://www.imdb.com/title/tt6352664/
Mystic Mountain,"Drama, Fantasy, Mystery",2015,5100.0,6.8,6.0,The story of a young Tibetan man who must solve the mystery of disappearance of his father's corpse.,https://www.imdb.com/title/tt4303706/
Swor-The Melody of Dreams,Musical,2011,,7.4,7.0,"A musical family drama that is about a singer. SWOR is all about friendship, relationship with family, aims and life as a whole.",https://www.imdb.com/title/tt1867612/
Mle Kyu,"Comedy, Drama",2019,7200.0,,,Add a Plot,https://www.imdb.com/title/tt10037834/
Pardeshi,"Drama, Family",2015,,,,Add a Plot,https://www.imdb.com/title/tt7091544/
Shree Swosthani,Drama,1994,,,,"The first Nepali mythological film based on the epic, Shree Swosthani.",https://www.imdb.com/title/tt8503108/
Nostalgia Musical,"Short, Drama, Music",2011,240.0,7.5,6.0,Two childhood friends and lovers get separated by time and space but they still feel surrounded by each other all the time. The closeness and the proximity between has nothing to do with distance.,https://www.imdb.com/title/tt2573214/
Gorkha rakshyak,Action,2012,4800.0,,,"The martial arts sensation, Shuny Bee, strikes the city of Kathmandu as the Gorkha Protector, to stop the human trafficking of young innocent girls. Although it is a fiction movie, it is based on what is happening in real life situations for a long time in country of Nepal. He pledges to bring an end to this evil vice that has plagued his hometown. His dedication, determination and discipline play an important role to take down the gang lord of the trade market and bring peace and harmony to the city. An action packed drama for human rights with no wires, no animation, and no special effects!",https://www.imdb.com/title/tt1692333/
Iku the Jungle Man,Comedy,2008,7320.0,,,"A small boy got kidnap, taken to the Jungle and asked for ransom from his Family but the Iku (Tarzan) who lives in the jungle save the boy from the kidnappers.",https://www.imdb.com/title/tt10371222/
Khaag,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9892252/
Buhari,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0303807/
Hello Jindagi,Drama,,,,,Add a Plot,https://www.imdb.com/title/tt10188844/
Happy Days,"Action, Drama, Romance",2018,,,,Add a Plot,https://www.imdb.com/title/tt10304250/
Chauka Dau,Comedy,2019,,,,Add a Plot,https://www.imdb.com/title/tt10669626/
In Search of a Nation,"Drama, Family",2015,6540.0,7.6,12.0,"2014, according to the United Nations High Commissioner for Refugees there are 51.2 million people forcibly displaced across the world. Among them, 120,000 refugees are from Bhutan.",https://www.imdb.com/title/tt2808236/
Badhshala,Drama,2013,6000.0,7.2,22.0,Badhshala is a story of torture inside an army barrack during maoist insurgency.,https://www.imdb.com/title/tt6722986/
Dipendra Sarkar,"Biography, Romance",,7200.0,,,The movie revolves around a forbidden love story or a concealed Massacre Mystery.,https://www.imdb.com/title/tt7868544/
Aadha Love,"Adventure, Drama",2017,,7.6,5.0,People show how love can betrayed and turning your true love to half love.,https://www.imdb.com/title/tt6897032/
Langtang,"Documentary, Adventure, Sport",2015,3120.0,6.6,5.0,"Langtang is an ode to life, a tribute to hope and a search for new horizons.",https://www.imdb.com/title/tt5512430/
Chhodi Gaye Paap Lagla,Romance,2010,,,,Add a Plot,https://www.imdb.com/title/tt8682226/
Wasfia,"Documentary, Short",2016,,,,"Wasfia Nazreen doesn't just climb for the thrill; she climbs for a cause. The first Bangladeshi to scale the Seven Summits, Wasfia has made it her purpose to brave these climbs for the sake of something larger - for the women of Bangladesh.",https://www.imdb.com/title/tt5895236/
Counterpart,"Short, Thriller",2017,,,,A boy witnesses strange activities occurring in his house.,https://www.imdb.com/title/tt7076568/
Khai O Mheetheba,Drama,2017,9600.0,,,Add a Plot,https://www.imdb.com/title/tt7039448/
Cops,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9892220/
Journey to Yarsa,Documentary,2011,3360.0,5.6,5.0,"To pay their debts, a family makes a treacherous journey on Himalayas to pick yarsagumba, a highly valued fungus-larvae used in Chinese medicine.",https://www.imdb.com/title/tt3821390/
Rahadani,Drama,2016,7440.0,,,"The story of thousands of youth who goes to golf countries and Malaysia whereas that youth is not other than from least developed country Nepal, furthermore, characterize the cause and reason for foreign employment.",https://www.imdb.com/title/tt8878780/
Deepak Bajracharya: Man Magan,"Short, Music",2018,300.0,,,"Man Magan is a reflection of the culture, tradition and heritage of Nepal.",https://www.imdb.com/title/tt8680150/
Pratibimba,"Short, Drama, Romance",2013,1680.0,,,"PRATIBIMBA Every person in this world has dreams and aspirations that they want to fulfill. Pratibimba is the story of Nikhil, who like any one of us has dreams and aspirations and lives his life to see it come true. He longs to meet a person who sees life the way he does and understands him. Life has enough obstacles and is not easy for us to live and new struggles come upon us, however we overcome them and forge on. Unlike us normal people, Nikhil has a handicap and cannot see the world like we do. He sees the goodness of the soul as compared to the superficial things that we normal people dwell on. This is a romantic story of how all his life Nikhil searched for his destiny and finds it one day.",https://www.imdb.com/title/tt3143526/
Bansulli,"Short, Drama",2012,900.0,6.7,11.0,"A journey of hopes and desires, against the social stigma that still prevails in Nepal.",https://www.imdb.com/title/tt2514384/
Lamphoo,Drama,2018,,,,Add a Plot,https://www.imdb.com/title/tt8273182/
Jeevan Saathi,,2001,,8.6,5.0,Add a Plot,https://www.imdb.com/title/tt0301471/
Kahi Katai,Family,2018,,,,Add a Plot,https://www.imdb.com/title/tt8665904/
Madhu Malati,Romance,2017,,,,Add a Plot,https://www.imdb.com/title/tt6525346/
Tulashi,Drama,2019,,,,Story revolves around Tulashi and Shivam which are the main characters and dispute among high caste and low cast communities and relation between the people in a society seen in Nepal.,https://www.imdb.com/title/tt10930058/
Aavash,"Drama, Romance",2015,7920.0,7.8,8.0,"A man after heavy depressing breakup he starts to fall for two girls, he has to choose among them but who'll it choose between them? .",https://www.imdb.com/title/tt6450916/
Superhit,Thriller,2016,7260.0,,,Add a Plot,https://www.imdb.com/title/tt10240904/
Manai Ta Ho,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0304376/
Santan,Drama,1989,,,,Add a Plot,https://www.imdb.com/title/tt8349140/
Sushant Pradhan,"Reality-TV, Sport",2014,900.0,,,Add a Plot,https://www.imdb.com/title/tt8269162/
"Conserving World Heritage Site, Patan Durbar Square","Documentary, Short",2005,1020.0,7.5,6.0,The beauty of the UNESCO World Heritage Site Patan Durbar Square is in jeopardy as the new urban buildings tend to take away the art and the beauty of the place. UNESCO comes up with some solution and ITFPA tries to implement through documentary.,https://www.imdb.com/title/tt2573048/
Nepal's Mega Cinestar,Reality-TV,2019,3600.0,,,"Nepal's Mega Cinestar Rise through the millions is a Television Base reality show with the idea of finding raw talent all over Nepal and compete them. Funding will be done via audition and we have outreach of 7 best places in Nepal including Kathmandu and Pokhara. Nepal's Mega Cinestar specially look for the people who has talent on screen or people who are talent on screen task, such as acting, dancing, ramp walk and modeling. After finding the talent we will compete them to the nationwide talents who had been selected from all over Nepal. The approximate length of this program will be 27 episodes and each episode will be 60 minutes long. There will be multiple selection round conducted by judges and each contestant will have to pass each round in order to win the competition.",https://www.imdb.com/title/tt8687828/
Utsav,Drama,2014,,7.3,7.0,Singers original songs get stolen so his friends try to credit him.,https://www.imdb.com/title/tt6634928/
Save Gangamaya,"Documentary, Biography, Crime",2016,5280.0,,,A mum the world's mums can be proud of: Nepal's Gangamaya Adhikari has been fighting relentlessly for justice for her murdered teenage son over ten years now.,https://www.imdb.com/title/tt6109848/
Aago,,2000,,6.2,8.0,Add a Plot,https://www.imdb.com/title/tt0342015/
Supermonk,"Short, Adventure",2018,1080.0,,,"The journey of an eleven years old monk, who finds his way of applying the Buddha's teachings of compassion and joy in an unconventional way",https://www.imdb.com/title/tt9668540/
Maynati: Poetry Against Modern Day Slavery,Documentary,,,,,Add a Plot,https://www.imdb.com/title/tt3172496/
Take the Lead,"Short, Drama",2009,,,,A school science teacher lost his child from carbon-monoxide poisoning. He now fights to save the environment.,https://www.imdb.com/title/tt2543844/
Kathabhitra ka Kathaharo,Documentary,2009,,,,Reaching Across Borders Project on HIV/AIDS and migration in West Nepal.,https://www.imdb.com/title/tt3177032/
Chhintang 2036 B.S.,"Documentary, Short, History",2019,1020.0,,,"In the year 2036 B.S (1979 A.D), 16 people from Chhintang, a remote village in eastern Nepal were killed. At the time, Nepal was a monarch, and a party less Panchayat system of government prevailed. Any kind of resistance against the government was subject to harsh treatment - the Chhintang incident being an example. Today, almost 40 years later, the story needs to be retold - we no longer live under the Panchayat System and Aawaaj believes the state should recognize the resistance of these 16. Grant them the status of 'National Martyrs'.",https://www.imdb.com/title/tt10071608/
Duplicity,Short,2010,,,,Duplicity is the story of a regular office guy who has a hard time making peace with himself. The film is more about images and allegory than about real life situations. It is primarily based on a short sequence of grotesque events that take place in a surreal world.,https://www.imdb.com/title/tt2713276/
Thaha Chaina,"Short, Musical",2005,,,,Add a Plot,https://www.imdb.com/title/tt6280372/
Nepal Pyaro Chha,,2001,,8.1,19.0,Add a Plot,https://www.imdb.com/title/tt0304469/
Anaagat,Thriller,,,,,"Suresh is an amateur artist who is married to Vidya, an outspoken and brash housewife. Together with their seven-year- old son Suvid, they seem to lead a normal life. This normality includes arguments regarding the household finances and the separate, independent lives the couple lead. Things start to take a serious turn when Suresh discovers that Vidya is hiding things from him. Suresh's best friend Jayant is of the belief that Vidya is untrustworthy and is most probably having an affair. When Vidya's ex is brutally murdered, Jayant firmly believes that Vidya is involved in this crime. Though Suresh is not convinced of this initially, events start to unfold that firmly lead him to believe that the mother of his son is trying to kill him.",https://www.imdb.com/title/tt5743300/
Heroz,Drama,2018,,,,Add a Plot,https://www.imdb.com/title/tt10534512/
Hijo Aaja Bholi,Drama,1968,,,,Add a Plot,https://www.imdb.com/title/tt8378014/
Maya's Bar,Drama,2012,,,,Add a Plot,https://www.imdb.com/title/tt8943108/
Haudey,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0304145/
Dhansamphati,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0315486/
Bikram Baral: Barai Kayari Bachaulaa,"Short, Music",2018,,,,Add a Plot,https://www.imdb.com/title/tt9469720/
Maun,Drama,2013,,,,Add a Plot,https://www.imdb.com/title/tt8504976/
Hasiya,Action,2014,,,,Add a Plot,https://www.imdb.com/title/tt8754286/
Khatte: The Choice of Freedom,Documentary,2015,,,,"This is a documentary film about long-term street children, living in Kathmandu and two protagonists ex street kid Sushil Babu Chetri and Lalit Shasi who run non-government organisation for children in need. Sushil wants to direct street theatre with street children as main protagonists, trying to show alternative ways how to help them and how to face this never ending problem. But his task turns out not to be as easy as it seems, facing more problems than he expected. Lalit Shasi, despite the fact that there are no street children in his orphanage, wants to safe three street kids from the street by giving them bed, food and safety in his organisation. But he faces the reality of the street and struggle to convince children to choose safety instead of freedom of the street.",https://www.imdb.com/title/tt5226054/
Maya Ta Maya Ho,Romance,2009,,,,Add a Plot,https://www.imdb.com/title/tt8228040/
Fitkiree,Crime,2014,,7.1,29.0,The life of loyal and hard-working police inspector is turned upside down when he faced a road construction case. Searching for the person behind the kidnapping of a businessman led him to the clue to the issue.,https://www.imdb.com/title/tt5973366/
Janma Janma,Romance,1994,,,,"""JANAM JANAM"" is a Love Story Social family Drama.",https://www.imdb.com/title/tt5093756/
Gorkha Rachhayak,Action,2009,7500.0,,,Add a Plot,https://www.imdb.com/title/tt8979822/
April Rush: Tyo Hawa,"Short, Music",2016,360.0,,,Add a Plot,https://www.imdb.com/title/tt7066654/
Utkarsha: Drive Towards Drug Prevention,"Documentary, Short",2015,600.0,,,We have always seen a life after people get into drugs. How about sharing a positive notion with young people and motivate them with some words of influential people who stand tall today because they did not choose Drugs.,https://www.imdb.com/title/tt7034662/
Producer,Comedy,2014,8880.0,,,Three friends struggle to make a cinema which brings lots of fluctuality in their daily life.,https://www.imdb.com/title/tt4852030/
Pokhara.com,Musical,2003,1800.0,,,Travel based musical show.,https://www.imdb.com/title/tt2144066/
Sun Ko Pinjada,Short,2017,,,,Add a Plot,https://www.imdb.com/title/tt7377352/
Woman Rebel,"Documentary, Short, Biography",2010,2220.0,7.4,23.0,40% of the rebel army over the course of a ten year revolution in Nepal were women. Woman Rebel follows the incredible story of one such woman (codename 'Silu') from the jungles all the way to the halls of Parliament.,https://www.imdb.com/title/tt1507392/
The Korean Dream,"Documentary, Short, Drama",2013,1620.0,,,"""The Korean Dream"" is about a migrant worker who sacrificed 18 years of his life in struggle to fulfill his influence in the Korean society. Likewise, the dreams of many migrant workers have ended with disappointments, the dream of main character Therefore it's an attempt to show how human rights have been dominated and exploited under the name of government. Furthermore, it's about broken dreams of those migrant workers that were forced to be in exile or under detention.",https://www.imdb.com/title/tt5908564/
Afanta,,1999,,6.2,5.0,Add a Plot,https://www.imdb.com/title/tt0300908/
Radha,"Drama, Romance",2016,,,,Add a Plot,https://www.imdb.com/title/tt7869094/
Deciphering Me,Action,2014,6720.0,,,"This poignant story explores the inner world of a rebel who belongs to a ultra-leftist underground outfit, his fate depends on the mercy of the villagers, among whom he was forced to rest because of his fatal injuries, fighting with the State. The villagers accused him of the murder of an innocent native girl. Amidst the turmoil, he experienced life and death in every second, all his fellow combatants disappeared fearing further possible army confrontation and he was left alone with his disturbing thoughts.",https://www.imdb.com/title/tt4854822/
Changa,Comedy,2018,7620.0,,,Add a Plot,https://www.imdb.com/title/tt9890312/
Moving Mountains: The Awakening,Short,2017,,,,"A short docudrama that explores the truth of April 25th, 2015 earthquake with important message of Disaster Risk Reduction from the surviving children.",https://www.imdb.com/title/tt7076254/
Jaalgedi,Short,2017,,7.5,8.0,"When a white tourist is seen for the first time in her remote Himalayan village, Jaalgedi - curious Nepalese girl is distracted from her job causing a catastrophe in her family.",https://www.imdb.com/title/tt7981050/
Smoke through a spider web,"Short, Drama",2018,900.0,,,"In a small village of Nepal, Sabitri and her husband travels around to make a smoke free stove but gets rejected for being a lower caste.",https://www.imdb.com/title/tt8634038/
Bardo,Short,2019,,,,"Wondering in the state of Bardo (PURGATORY) a man returns his home, followed by an unexpected journey of emotions and spiritual experiences.",https://www.imdb.com/title/tt10132860/
Mission Paisa,"Animation, Action, Crime",2009,7200.0,6.5,17.0,All the character make a mission called Mission Paisa and take a revenge on everyone who sent them to prison.,https://www.imdb.com/title/tt1977865/
Mero Gaon: My Village,"Documentary, Short",2016,,,,"""Join Gyetrul Jingme Rinpoche and award-winning director and photographer Indrani Pal-Chaudhuri...[in] Mero Gaon, which tells the story of the rebuilding of a village in Nepal after the devastating 2015 earthquake.""",https://www.imdb.com/title/tt6054118/
Black and White Photo,,,,,,Add a Plot,https://www.imdb.com/title/tt10775192/
Safe Schools: Nepal,"Documentary, Short, News",2016,540.0,,,"""Safe Schools: Nepal"" highlights the tragic consequences for children in Nepal, who are exposed to trafficking, early marriage, child labor because their education is neglected in the aftermath of the 2015 earthquake.",https://www.imdb.com/title/tt5822624/
Hateri,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0325526/
Maya Baiguni,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0325807/
Bhagya Rekha,"Drama, Romance",1989,,,,Add a Plot,https://www.imdb.com/title/tt8517778/
The Yug Dekhi Yug Samma,Drama,2009,8400.0,,,Add a Plot,https://www.imdb.com/title/tt10371334/
Himalayan Kingdom of Nepal,"Action, Comedy, Drama",2007,6660.0,,,Add a Plot,https://www.imdb.com/title/tt10726106/
Manko Babari,Drama,2017,6900.0,,,"Babari is a hard-working village girl who has all the qualities and charm to be likable but the only problem with her is that she was born on Dark Moon Day ""Aunsi"" and there is cultural disbelief that those who are born on that day should only marry the person who was born on the same day or else her husband will die.",https://www.imdb.com/title/tt9861192/
Samaya Ra Paristhiti 2,Short,2017,,,,"We are often what we make out of ourselves. Perfection is a beautiful illusion. No society is perfect, none of us are the same. Nothing is too right or too wrong. We all just reflect the circumstances we live. We are our times, we are our experiences. This is our Samaya Ra Parsithiti.",https://www.imdb.com/title/tt5437252/
Yo Kasto Saino,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0314925/
Ma Byujiyepachi,"Short, Family",2015,180.0,9.6,17.0,Add a Plot,https://www.imdb.com/title/tt4567392/
Lachhamaniya,"Short, Drama",2017,960.0,,,"The psychological conflict arising from the disagreement between the protagonist's parents and in-laws concerning her giving away ceremony, and the consequences that follow.",https://www.imdb.com/title/tt7067988/
Mero Hajur,,2002,,7.0,5.0,Add a Plot,https://www.imdb.com/title/tt0316240/
Play Pause Stop,Family,2016,,,,Add a Plot,https://www.imdb.com/title/tt7034706/
Gaunki Chhori,Drama,2018,,,,Add a Plot,https://www.imdb.com/title/tt7985588/
Vismrit: Forgotten,Drama,2018,3780.0,,,Two frustrated young men decide to attempt suicide with the hope of their re-incarnation in a better life.,https://www.imdb.com/title/tt6956922/
The Rat Hunters,"Documentary, Adventure",2010,2700.0,,,"The Rat Hunters is a documentary film that reflects the true lifestyle of rat hunting community 'MUSHAHAR' from south Asia. It is 5 days long bamboo trading journey on ancient oxen cart. It introduces the real rat eating people of the world whose community name is derived from the fact that they eat rat. The word mushahar is made up of two words 'mush' meaning rat and 'ahar' meaning food, thus the people who eat rat are called mushahar. The Rat Hunter is story of a 60 years old mushahar man who works as a bounded labor for landlord as his forefathers, and shows his hardship of bamboo trading trip.",https://www.imdb.com/title/tt1665017/
Savitri,"Short, Drama",2013,,,,Add a Plot,https://www.imdb.com/title/tt8832008/
Timrai Lagi,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0304827/
The Walking Hospital,"Documentary, Short, Biography",2011,1440.0,,,"THE WALKING HOSPITAL is a documentary that journeys alongside a small group of practitioners trained in an ancient form of Chinese field medicine as they travel to remote outposts helping those in need. The first 25-minute segment begins in the crowded streets of Kathmandu and ascends to remote Tibetan mountain villages in Mustang, Nepal in the foothills of the Himalayas. The doctors battle the elements to offer urgent care to individuals isolated geographically and financially. The film is a story about health, healing and the powerful lessons of generosity that transcend borders and boundaries.",https://www.imdb.com/title/tt1998356/
Pheri Temro Yaad Aayo,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0325972/
Ajhai Pani,Drama,2015,,7.7,6.0,"The movie portrays a romance between Kushal (Sudarshan Thapa) and Yunisha (Puza Sharma). It also features Surakshya Pant as Shaili, and Bijay Lama as Yunisha's uncle.",https://www.imdb.com/title/tt5972072/
Sagun,,1998,,,,Add a Plot,https://www.imdb.com/title/tt0301795/
Mohani Lagla Hai,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0316270/
Jetho Kancha,Drama,2003,5400.0,8.1,7.0,Add a Plot,https://www.imdb.com/title/tt0382764/
Love is Life,Drama,2013,,,,Add a Plot,https://www.imdb.com/title/tt9042328/
Melmilap,"Documentary, Animation",2017,6360.0,,,"Melmilap is an honest view into the lives and thoughts of four college friends, two Nepali and two American, as they live and travel in the city and countryside of Nepal during its second set of democratic elections.",https://www.imdb.com/title/tt6870864/
Anyay,Drama,1989,,,,Add a Plot,https://www.imdb.com/title/tt8227934/
Manmandir,,2002,,,,The boy mother died in boy birthday and he's father found another girl just look alike as he's mother,https://www.imdb.com/title/tt0316220/
Mero Paisa Khoi,"Comedy, Drama",2017,,,,Add a Plot,https://www.imdb.com/title/tt7889260/
Maya Namara,,2002,,8.8,8.0,Add a Plot,https://www.imdb.com/title/tt0314362/
Majipa: Birsideu,"Short, Music",2016,,,,Add a Plot,https://www.imdb.com/title/tt7066494/
