title,genre,year,runtime,rating,votes,plot,imdb_url
Chakkar,Crime,2018,,,,"A seemingly uneducated and unemployed individual is offered to kill a stranger's wife, as brutally as possible.",https://www.imdb.com/title/tt8682244/
Silsila,Drama,2009,,6.2,6.0,When a journalist nearly get killed from his enemy his mother and other people do everything to revive him up.,https://www.imdb.com/title/tt7229916/
Jhumkee,Thriller,2016,,6.5,10.0,Jhumkee features suspense story on Women Violence in Nepal.,https://www.imdb.com/title/tt6730644/
Biteka Pal,Romance,2014,,,,Add a Plot,https://www.imdb.com/title/tt8661390/
Dhoka,"Short, Thriller",2017,540.0,,,The betrayal by a close friend who falls victim to drug addiction.,https://www.imdb.com/title/tt8967956/
Sahasi Chori,"Short, Drama, Thriller",2013,1200.0,6.0,12.0,"A 13-year-old Nepali girl leaves her Himalayan village seeking employment in the city with trusted friend Krishna, but becomes increasingly suspicious of his intentions when he asks her to cross the border with him to India. At a life-changing crossroads, she is forced to choose what she's willing to sacrifice for the good of both her family, and his.",https://www.imdb.com/title/tt2233588/
Drawing the Tiger,"Documentary, Drama",2015,5760.0,9.0,5.0,"Filmed over seven years, Drawing The Tiger is a intimate portrait of a family in rural Nepal who get a chance to break their cycle of poverty: Their brightest child is awarded a scholarship to attend school in the city. When she doesn't return home, the family is forced to survive without her or the opportunity they believed would change their fate.",https://www.imdb.com/title/tt4599430/
Jani Najani,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9885892/
Ko Afno,"Drama, Thriller",2015,6840.0,7.5,11.0,"This is a deeply involving drama depicting the desperation between a poor rural couple and a childless upper class urban couple, whose lives are forever altered when the rich couple buys the ingenuous poor couple's 3-year old son, on the promise of a better life. Son grows up emotionally disturbed and resorts to extreme measures to feel less alone.",https://www.imdb.com/title/tt5302258/
November Rain,Romance,2014,7920.0,7.7,30.0,"Aayush falls in love with Sheetal at first sight, unaware that fate already had them together somewhere in the past.",https://www.imdb.com/title/tt5659988/
Subha Love,Romance,2019,,,,Add a Plot,https://www.imdb.com/title/tt9878866/
Pandorum,"Short, Drama, Fantasy",2016,180.0,,,Add a Plot,https://www.imdb.com/title/tt7038600/
Jai Shree Daam,Comedy,2018,,,,Add a Plot,https://www.imdb.com/title/tt8620110/
Sammy Adventures,"Adventure, Reality-TV",2016,1260.0,,,Add a Plot,https://www.imdb.com/title/tt7066514/
Palash,Drama,2017,,7.6,5.0,"Samjhana,a middle class village girl wishes to marry a rich guy which later leads her to be sold at a brothel. The sweetness of her lover back from her village and the harshness of the brothel owner, after she's drowned into prostitution, are the major emotional ingredients of the movie.",https://www.imdb.com/title/tt6453622/
Darpan Chhaya 2,"Drama, Musical",2017,,6.9,8.0,"Directed by Tulsi Ghimire, Darpan Chaya 2 is the second part, but not a sequel, of the blockbuster movie Darpan Chaya (2001). With the concept of musical love story, the movie stars Puspa Khadka, Sahara Karki and Shraddha Parsai in the lead roles. The story tells a romantic love between a couple who enjoys each other company but, life has something else planned for them.",https://www.imdb.com/title/tt6607322/
Nepal,Action,,,,,Add a Plot,https://www.imdb.com/title/tt4044000/
Thuldai,"Action, Comedy",1999,,7.8,16.0,A story of a normal village boy whose mother dies and brother gets lost in the city.,https://www.imdb.com/title/tt0299180/
Fingerprint,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9892272/
Rumalai Chha Chino,Action,2019,,,,Add a Plot,https://www.imdb.com/title/tt9545316/
Chameli,Drama,1999,,8.4,7.0,"CHAMELI: A FILM ABOUT GIRL TRAFFICKING IN NEPALChameli was once a trusting fifteen year old Nepali girl from a remote village in the Himalayas. Like most girls her age, she often dreamt of ...                See full synopsis »",https://www.imdb.com/title/tt0301095/
Premleela,Romance,2019,,,,Add a Plot,https://www.imdb.com/title/tt9631938/
Pahuna,Drama,2003,,,,A mental patient is admitted in the hospital. Only cure he needs is someone to forgive him.,https://www.imdb.com/title/tt8374716/
Love Sasha,Romance,2017,,7.2,12.0,A girl (Keki Adhikari) starts to develop a afair with a young man (Karma Shayla) while waiting to get engaged with her long time boyfriend.,https://www.imdb.com/title/tt6620138/
God Lives in the Himalayas,Drama,2009,5940.0,8.3,23.0,"In the Himalayan foothills, ten-year old Siddarth's mother is killed and his father burnt during a religious ceremony. Siddarth is shocked as to why God did this. The question consumes his mind and he searches for God to ask him why.",https://www.imdb.com/title/tt1519638/
Ko Banchha Crorepati,"Game-Show, Reality-TV",2019,,8.9,7.0,An Nepalese version of international show Who Wants to Be a Millionaire (1998).,https://www.imdb.com/title/tt8025016/
Who Will Be a Gurkha,Documentary,2012,,8.5,29.0,Add a Plot,https://www.imdb.com/title/tt2500034/
Mausam,Drama,2009,,,,Add a Plot,https://www.imdb.com/title/tt8809286/
Sukha Dukha,Drama,2004,,,,Add a Plot,https://www.imdb.com/title/tt8254094/
Kina Ma? 2019,History,2019,5040.0,,,Add a Plot,https://www.imdb.com/title/tt10475034/
Teen Ghumti,"Biography, Drama",2016,,8.4,14.0,"Indira, a girl from the ethnic group of Newars, falls in love with Pritambar, who is a Brahmin. She marries him, defying her parents. Pritambar has strong morals but lacks any sense of romance. He is involved with a group of revolutionaries who are planning protests against the autocratic rule. This group regularly meets at Pritambar's house and the members get to know Indira. When the security forces crack down on the revolutionary movement, Pritambar is imprisoned. Another member of the group, Roshan, comes to Indira's aid. He starts living with her and soon falls in love. Though she rejects his advances in the beginning, she eventually gives in. Their taboo relationship leads to Indira's pregnancy. With Pritambar due to be released, Indira is faced with a dilemma in her conservative society.",https://www.imdb.com/title/tt5642582/
Saathi,"Drama, Romance",1998,,,,Add a Plot,https://www.imdb.com/title/tt8197562/
Commitment: 60 Hours,Action,,,,,Upcoming Nepalese action film.,https://www.imdb.com/title/tt7894204/
The Sound of Silence,Documentary,1996,3600.0,,,"In this video, layers of discommunication between a well-meaning American couple and a visiting Sherpa man, compounded with the dilemma of the Nepalese filmmaker who is caught in between as interpreter, prompt the viewer to review the limits to language and communication. Innocent discussions about food and culture reveal much about relative positions, through statements that could only be made through untranslated remarks and silences.",https://www.imdb.com/title/tt5217982/
Hamro Team,"Drama, Sport",2011,,,,Add a Plot,https://www.imdb.com/title/tt8689382/
